"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","D","E","F","R","M","species","year","ID"
"1",4084470000,155131000,0,3705290000,117440000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1913,"D0-E0-F0-R0-M0-cod-1"
"2",4084470000,174064000,0,3705290000,116729000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1914,"D0-E0-F0-R0-M0-cod-1"
"3",4091430000,105101000,0,3704400000,115989000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1915,"D0-E0-F0-R0-M0-cod-1"
"4",4121430000,28647400,0,3701070000,115188000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1916,"D0-E0-F0-R0-M0-cod-1"
"5",4159470000,141111000,0,3695080000,114321000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1917,"D0-E0-F0-R0-M0-cod-1"
"6",4145770000,53683100,0,3686360000,113394000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1918,"D0-E0-F0-R0-M0-cod-1"
"7",4080510000,73189500,0,3675070000,112360000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1919,"D0-E0-F0-R0-M0-cod-1"
"8",3998520000,110772000,0,3661420000,111280000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1920,"D0-E0-F0-R0-M0-cod-1"
"9",3871750000,140683000,0,3645600000,110134000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1921,"D0-E0-F0-R0-M0-cod-1"
"10",3735790000,169028000,0,3627760000,108944000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1922,"D0-E0-F0-R0-M0-cod-1"
"11",3626670000,83293200,0,3.608e+09,107755000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1923,"D0-E0-F0-R0-M0-cod-1"
"12",3572080000,52935500,0,3586390000,115524000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1924,"D0-E0-F0-R0-M0-cod-1"
"13",3557120000,95885200,0,3.563e+09,132162000,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1925,"D0-E0-F0-R0-M0-cod-1"
"14",3523800000,94655500,0,3540650000,97097200,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1926,"D0-E0-F0-R0-M0-cod-1"
"15",3466570000,39072400,0,3528970000,74967900,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1927,"D0-E0-F0-R0-M0-cod-1"
"16",3404820000,71623000,0,3524930000,81303200,0,"D0-E0-F0-R0-M0-cod",1,"D0","E0","F0","R0","M0","cod",1928,"D0-E0-F0-R0-M0-cod-1"
