"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","NLL_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","NatM_p_1_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","NLL_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","E","F","G","R","S","M","species","max_grad","version","StartTime","EndTime"
"1",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1401250000,163818000,4034120000,0.357500520559626,2676.24,0,0.2,19.1168,129.449,0.210977,0.104296,0.104324,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6999,0.65,0.001,0,0,0,0,0,-0.0792534,0,38.1,11.102,29.8905,8.57404,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",1,"D0","E100","F0","G0","R0","S0","M0","cod",0.28372,"#V3.24O","StartTime: Thu Aug  8 17:32:10 2013","EndTime: Thu Aug  8 17:32:51 2013"
"2",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1423130000,162231000,4090700000,0.332928349671205,2761.59,0,0.2,20.3349,132.802,0.194202,0.0969326,0.0986075,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7101,0.65,0.001,0,0,0,0,0,-0.0480246,0,38.3491,10.6412,31.4485,15.7969,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",2,"D0","E100","F0","G0","R0","S0","M0","cod",0.0649452,"#V3.24O","StartTime: Thu Aug  8 17:33:04 2013","EndTime: Thu Aug  8 17:33:42 2013"
"3",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1430340000,163217000,4115070000,0.353537120875222,2745.37,0,0.2,20.7265,133.247,0.190111,0.101435,0.0993302,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7222,0.65,0.001,0,0,0,0,0,-0.0113916,0,39.1616,11.5453,30.8672,11.055,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",3,"D0","E100","F0","G0","R0","S0","M0","cod",24.8298,"#V3.24O","StartTime: Thu Aug  8 17:33:50 2013","EndTime: Thu Aug  8 17:34:23 2013"
"4",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1422020000,162200000,4086800000,0.331795047469903,2671.29,0,0.2,20.4883,133.186,0.195103,0.0972365,0.0995239,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6942,0.65,0.001,0,0,0,0,0,-0.0065272,0,38.4624,10.9095,30.9592,10.7379,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",4,"D0","E100","F0","G0","R0","S0","M0","cod",4.98077,"#V3.24O","StartTime: Thu Aug  8 17:34:33 2013","EndTime: Thu Aug  8 17:35:11 2013"
"5",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1411710000,163609000,4062890000,0.355985517697993,2744.08,0,0.2,19.9204,130.476,0.204431,0.0943721,0.117413,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7007,0.65,0.001,0,0,0,0,0,-0.0624565,0,38.4532,10.6904,30.4596,9.63173,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",5,"D0","E100","F0","G0","R0","S0","M0","cod",3.79794,"#V3.24O","StartTime: Thu Aug  8 17:35:20 2013","EndTime: Thu Aug  8 17:35:56 2013"
"6",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1409040000,161934000,4051940000,0.322986026446591,2807.32,0,0.2,19.9302,132.294,0.199728,0.103898,0.102967,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6853,0.65,0.001,0,0,0,0,0,-0.0185575,0,38.3323,10.5994,30.6881,8.62306,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",6,"D0","E100","F0","G0","R0","S0","M0","cod",6.41195,"#V3.24O","StartTime: Thu Aug  8 17:36:06 2013","EndTime: Thu Aug  8 17:36:40 2013"
"7",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1435010000,162747000,4120830000,0.34433354445585,2693.09,0,0.2,20.5411,133.192,0.194407,0.0965356,0.100462,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.705,0.65,0.001,0,0,0,0,0,-0.110126,0,37.7248,9.85389,31.116,10.8556,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",7,"D0","E100","F0","G0","R0","S0","M0","cod",0.0766552,"#V3.24O","StartTime: Thu Aug  8 17:36:49 2013","EndTime: Thu Aug  8 17:37:41 2013"
"8",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1404560000,162949000,4039640000,0.341703716172728,2669.69,0,0.2,19.5702,129.783,0.209155,0.0941468,0.112536,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.695,0.65,0.001,0,0,0,0,0,0.0346092,0,37.5877,10.0858,30.705,6.84499,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",8,"D0","E100","F0","G0","R0","S0","M0","cod",0.765614,"#V3.24O","StartTime: Thu Aug  8 17:37:51 2013","EndTime: Thu Aug  8 17:38:38 2013"
"9",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1417350000,163045000,4077700000,0.347683743286657,2684.36,0,0.2,20.2534,132.385,0.19744,0.0962668,0.0993399,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7007,0.65,0.001,0,0,0,0,0,0.00241868,0,39.0395,11.6928,30.6103,11.6225,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",9,"D0","E100","F0","G0","R0","S0","M0","cod",0.56001,"#V3.24O","StartTime: Thu Aug  8 17:38:48 2013","EndTime: Thu Aug  8 17:39:31 2013"
"10",1420620000,163156000,4084470000,0.349452927797242,-189.149,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,1,18.7,0.65,0.4,0,0,0,0,0,0,0,38.18,10.63,30.54,10.63,1416300000,163160000,4074040000,0.348992646120313,2804.09,0,0.2,19.9701,131.795,0.200658,0.103591,0.105759,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6957,0.65,0.001,0,0,0,0,0,0.0226839,0,38.3697,10.6282,29.809,10.3246,1913.1483,1942.852,2001.9585,2011.831,0,5,5,"D0-E100-F0-G0-R0-S0-M0-cod",10,"D0","E100","F0","G0","R0","S0","M0","cod",4.47213,"#V3.24O","StartTime: Thu Aug  8 17:39:45 2013","EndTime: Thu Aug  8 17:40:13 2013"
